127.0.0.1 - - [12/May/2023:10:19:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:27 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:27 +0900] "GET /comm/ HTTP/1.1" 200 7822
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:27 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:30 +0900] "POST /comm/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:30 +0900] "GET /comm/ HTTP/1.1" 200 6447
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:30 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:37 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:41 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:47 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:50 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/May/2023:10:19:57 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/May/2023:10:20:01 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
