127.0.0.1 - - [01/Jun/2023:18:02:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:06 +0900] "GET /comm/ HTTP/1.1" 200 7821
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:06 +0900] "GET /comm/resources/css/main-style.css HTTP/1.1" 200 6050
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:06 +0900] "GET /comm/resources/js/main.js HTTP/1.1" 200 7353
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:06 +0900] "GET /comm/resources/images/logo.jpg HTTP/1.1" 200 12708
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:07 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:16 +0900] "GET /comm/ HTTP/1.1" 200 7821
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:16 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:26 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:36 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:46 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:02:56 +0900] "GET /comm/member/selectAll HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:03:06 +0900] "GET /comm/member/selectAll HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Jun/2023:18:03:16 +0900] "GET /comm/member/selectAll HTTP/1.1" 404 721
